company_number,company_name,company_status,company_type,date_of_creation,date_of_cessation,sic_codes,postcode,has_charges,has_been_liquidated,n_officers_total,n_officers_active,n_filings_total,n_filings_year1
07253096,SP FINANCIAL PLANNING LIMITED,active,ltd,2010-05-13,,['64999'],LS27 7GF,False,False,2,2,35,1
07223500,JUST COMMERCIALS VEHICLE REPAIRS LTD,active,ltd,2010-04-14,,['45200'],RG7 4PW,False,False,2,1,35,1
07202061,FLO CONSULTANTS LIMITED,active,ltd,2010-03-25,,['68209'],KT13 0HN,False,False,2,2,43,1
07392049,STORAGE IDEAS UK LIMITED,active,ltd,2010-09-30,,['46180'],S66 1AG,False,False,2,1,37,1
07370298,WILD BANDIT LTD,active,ltd,2010-09-09,,['90040'],RG10 0RR,False,False,3,1,49,1
SC372922,SOURCE PROPERTY (SCOTLAND) LTD.,active,ltd,2010-02-12,,['68310'],G81 1BL,False,False,6,1,53,8
07157900,KWONG LEE & CO LIMITED,active,ltd,2010-02-15,,['69203'],NW2 7HD,False,False,2,1,39,1
07390897,ROUT666 LIMITED,active,ltd,2010-09-29,,['96090'],EN10 6GE,False,False,1,1,34,1
07441404,SILITUS LIMITED,active,ltd,2010-11-16,,['68320'],WC2B 5AH,False,False,1,1,41,2
07333088,T-CONNECT ELECTRICAL LIMITED,active,ltd,2010-08-02,,['43210'],LE67 5QB,False,False,1,1,49,1
07155571,VISTA (LONDON) LIMITED,active,ltd,2010-02-12,,['68209'],TW9 4LN,False,False,3,3,54,1
07384620,APPTECHNOLOGY LIMITED,active,ltd,2010-09-22,,"['58290', '62020']",EC3A 8BF,False,False,8,5,66,3
07250252,MACAULEY SMITH LIMITED,active,ltd,2010-05-11,,['69102'],SE8 5AD,False,False,2,2,39,2
SC377894,ALMOND CLEANING SERVICES LIMITED,active,ltd,2010-05-04,,['81222'],EH54 6AX,False,False,1,1,38,1
07212054,SOUTH EAST DRAINAGE SERVICES LIMITED,active,ltd,2010-04-06,,['39000'],PO7 6AG,False,False,3,1,53,1
07190451,GLOBAL ECM SOLUTIONS LTD,active,ltd,2010-03-16,,['62090'],UB6 7JD,False,False,3,2,44,2
SC382460,CAKES DIRECT LIMITED,active,ltd,2010-07-23,,['56290'],ML1 1BN,False,False,4,1,39,6
07211709,TCMV SOLUTIONS LIMITED,active,ltd,2010-04-01,,['68320'],BH14 8BL,False,False,3,3,35,1
07248501,PENDEZA LIMITED,active,ltd,2010-05-10,,['47710'],AL1 1DT,False,False,2,1,37,3
07199908,RUBY FILMS (TOAST) LIMITED,active,ltd,2010-03-23,,['82990'],SG19 1LB,False,False,4,1,60,10
07308962,LOMBARD GROUP DEVELOPMENTS LIMITED,active,ltd,2010-07-08,,['68100'],DY13 9BZ,False,False,3,2,45,1
OC352865,OLD MILL AUDIT 2021 LLP,active,llp,2010-03-04,,,BA20 1SH,False,False,56,4,181,0
OC360306,BETHNAL GREEN LLP,active,llp,2010-12-15,,,HU13 0EU,False,False,3,2,51,1
OC353564,THE SEAPORT GROUP EUROPE LLP,active,llp,2010-03-24,,,SW1Y 4LR,False,False,79,25,190,0
OC351649,BAILOY ASSOCIATES LLP,active,llp,2010-01-21,,,UB7 0AQ,False,False,4,3,44,4
OC354289,SOBELL RHODES LLP,active,llp,2010-04-20,,,WD6 4PJ,False,False,13,8,62,3
OC357628,FOCUS CONSULTANTS 2010 LLP,active,llp,2010-09-03,,,DE24 8JY,False,False,19,9,91,10
OC356799,MPOWER PARTNERS LLP,active,llp,2010-07-29,,,BH25 6FJ,False,False,2,2,42,1
OC354626,PKG CONSULTANTS LLP,active,llp,2010-05-04,,,NG24 1EZ,False,False,2,2,32,1
OC352060,NIGEL BAWDEN PROJECTS LLP,active,llp,2010-02-04,,,TR14 0LY,False,False,2,2,45,2
OC358770,ALBION MILL LLP,active,llp,2010-10-18,,,HD6 4AH,False,False,4,3,40,5
OC358458,UK ELECTRICAL SUPPLIERS LLP,active,llp,2010-10-06,,,TW12 1RF,False,False,12,5,54,9
OC359262,LAINDON TRADING LLP,active,llp,2010-11-04,,,SS13 1RZ,False,False,2,2,49,2
OC359270,BROOKLANDS CLEVES LLP,active,llp,2010-11-04,,,EC2A 2AP,False,False,7,6,74,6
OC352378,R & R PROPERTY INVESTMENTS LLP,active,llp,2010-02-16,,,IG10 4PL,False,False,5,3,44,6
OC358832,RAYNOL PROPERTIES (CHELTENHAM) LLP,active,llp,2010-10-20,,,ST1 5SZ,False,False,2,2,38,4
OC360125,ACKROYD LEGAL (LONDON) LLP,active,llp,2010-12-08,,,E1 8AZ,False,False,23,4,91,4
