company_number,n_filings_total,n_filings_year1
NI608209,10,1
NI609272,19,1
NI609938,17,2
NI609980,11,5
NI610089,12,1
NI610009,31,2
NI609415,18,5
NI610123,26,5
NI610265,28,1
NI609573,17,1
NI609081,13,2
NI609882,15,9
NI609970,11,1
NI610029,50,4
NI607995,15,1
NI608180,27,1
NI608909,12,1
NI610006,12,1
NI610438,18,2
NI609904,14,1
NI609963,16,1
NI608962,9,1
NI609022,10,3
NI610083,17,7
NI609851,18,2
NI609151,14,5
NI608903,25,6
NI609965,47,7
NI610334,33,2
NI610439,13,2
NI610459,14,3
NI609013,9,1
NI609193,20,10
NI609786,28,1
NI609619,7,2
NI609705,20,6
NI609662,11,1
NI610512,9,1
NI609728,26,1
NI609587,17,4
NI609596,10,1
NI609709,72,12
NI609482,19,4
NI609775,20,1
NI609798,40,1
NI610130,16,5
NI610065,9,1
NI610042,19,6
NI610146,8,1
NI610211,24,2
NI610063,14,1
NI608151,24,2
NI610484,30,1
NI608440,20,1
NI608532,7,1
NI609554,12,1
NI608475,25,2
NI608536,34,1
NI608576,25,1
NI609096,11,1
NI609168,11,3
NI609187,12,2
NI609627,29,1
NI609113,18,1
NI608669,36,1
NI608521,8,1
NI608743,14,2
NI608840,23,1
NI608969,18,3
NI608570,13,2
NI608579,24,9
NI609615,26,3
NI609674,27,7
NI609841,7,1
NI609928,35,3
NI609943,17,1
NI609489,8,1
NI609810,9,1
NI609536,26,1
NI609847,9,1
NI609599,22,9
NI609814,27,1
NI609485,20,5
NI609815,23,2
NI609944,17,1
NI609547,44,3
NI609731,13,1
NI609484,16,4
NI609618,9,1
NI609769,12,1
NI608586,16,1
NI610162,9,1
NI609921,18,5
NI609933,10,1
NI608938,8,1
NI609020,12,3
NI608653,18,1
NI610270,13,3
NI609899,8,1
NI609289,20,2
NI608671,19,2
NI609205,9,1
NI609102,10,2
NI608751,51,1
NI609994,13,2
NI610437,18,2
NI610451,20,1
NI609019,18,1
NI609160,10,2
NI610499,26,2
NI610341,27,2
NI609111,16,2
NI610044,7,1
NI609907,9,4
NI609912,9,1
NI610168,22,1
NI610017,9,3
NI610352,9,1
NI610226,29,1
NI610275,9,1
NI610346,18,3
NI610282,21,13
07481542,28,2
07481192,18,4
07481275,14,1
07481458,19,4
07481260,34,3
07481196,20,6
07481184,14,1
07481206,20,1
07481208,24,1
07481325,15,1
07482189,32,3
07482220,17,2
07482359,37,4
07481394,19,1
07482140,23,1
07482262,23,2
07481295,15,2
07481980,14,4
07481421,12,1
07481612,27,1
07481290,15,2
07481652,22,1
07481150,5,1
07481297,13,1
07481210,22,3
07481229,15,1
07482357,20,1
07481301,10,1
07482206,16,1
07481271,25,1
07481871,14,6
07481888,19,1
07481112,15,5
07480820,20,5
07480898,8,1
07481448,24,2
07482200,19,6
07481233,37,1
07481848,25,2
07482370,12,1
07482252,19,2
07482718,19,3
07480742,22,1
07481485,30,1
07481719,13,2
OC362452,13,1
OC362529,17,8
OC360715,10,1
OC362130,3,1
OC362135,9,5
OC360856,4,2
OC360608,3,1
OC360987,9,2
OC360778,3,1
OC363746,4,1
OC360718,10,5
OC360753,6,2
OC362904,11,1
OC360748,6,1
OC361288,5,1
OC361614,12,1
OC362683,5,1
OC363509,12,3
OC360571,7,1
OC360732,9,1
OC361045,10,4
OC361174,7,1
OC362830,4,4
OC362879,4,4
OC360751,8,1
OC360979,4,1
OC360565,10,1
OC360735,6,4
OC360801,9,1
OC361272,16,9
